,mean,std,layer,variable,distance_measure
SVHN_CINIC,0.006964826528958271,0.0030823837189828257,dense2,prune_rate_out,js_divergence
within_WTs,0.006562609167743354,0.003470798061313551,dense2,prune_rate_out,js_divergence
within_conditions,0.006215949594514139,0.0032839059211011855,dense2,prune_rate_out,js_divergence
between_WTs_and_RSN,0.009456145456901195,0.0044356642765656,dense2,prune_rate_out,js_divergence
between_WT_datasets,0.009797090282894834,0.004957079018039327,dense2,prune_rate_out,js_divergence
CIFAR,0.4715384742663963,0.01654389883931891,dense2,sign_rate_in,js_divergence
CINIC,0.490393928923886,0.018093852820003337,dense2,sign_rate_in,js_divergence
SVHN,0.4786230174415795,0.019944373558947678,dense2,sign_rate_in,js_divergence
RSN,0.45899258034579815,0.015360563716981294,dense2,sign_rate_in,js_divergence
RSN_CIFAR,0.4938623605286142,0.018861128934733122,dense2,sign_rate_in,js_divergence
RSN_CINIC,0.5486899824059258,0.020387349823424054,dense2,sign_rate_in,js_divergence
RSN_SVHN,0.48619031000149826,0.01929410426012123,dense2,sign_rate_in,js_divergence
CIFAR_SVHN,0.47676442222429694,0.01663607358133898,dense2,sign_rate_in,js_divergence
CINIC_CIFAR,0.5290944269950423,0.019416256205755995,dense2,sign_rate_in,js_divergence
SVHN_CINIC,0.5238978683232258,0.021666723095699506,dense2,sign_rate_in,js_divergence
within_WTs,0.48018514021062053,0.01983507467278669,dense2,sign_rate_in,js_divergence
within_conditions,0.474887000244415,0.020934904613746017,dense2,sign_rate_in,js_divergence
between_WTs_and_RSN,0.5095808843120126,0.03399686841921374,dense2,sign_rate_in,js_divergence
between_WT_datasets,0.5099189058475216,0.030471454546049253,dense2,sign_rate_in,js_divergence
CIFAR,0.032618135424730604,0.0064903096627309045,dense2,sign_rate_out,js_divergence
CINIC,0.028508345982795807,0.007619501563946966,dense2,sign_rate_out,js_divergence
SVHN,0.031179029147412794,0.0067018212983550865,dense2,sign_rate_out,js_divergence
RSN,0.03336710458892654,0.0061221848989488,dense2,sign_rate_out,js_divergence
RSN_CIFAR,0.038549999860971164,0.008911185641853211,dense2,sign_rate_out,js_divergence
RSN_CINIC,0.03737121333598474,0.008406264951423398,dense2,sign_rate_out,js_divergence
RSN_SVHN,0.037124100354594104,0.007890433557118302,dense2,sign_rate_out,js_divergence
CIFAR_SVHN,0.03488383355748415,0.006567116807388318,dense2,sign_rate_out,js_divergence
CINIC_CIFAR,0.03417930067448909,0.008281410186008037,dense2,sign_rate_out,js_divergence
SVHN_CINIC,0.02962223752541756,0.0062859459482383995,dense2,sign_rate_out,js_divergence
within_WTs,0.03076850351831308,0.007159918851564245,dense2,sign_rate_out,js_divergence
within_conditions,0.031418153785966435,0.007006051089290902,dense2,sign_rate_out,js_divergence
between_WTs_and_RSN,0.03768177118385,0.008435929620040859,dense2,sign_rate_out,js_divergence
between_WT_datasets,0.03289512391913027,0.007473012681326719,dense2,sign_rate_out,js_divergence
